makers_id;makers_name;makers_address;makers_tel;makers_homepage;makers_netshop;shop_name;register_time;register_person;update_time;update_person;delete_time;delete_person;makers_show
22;有限会社 竹田製粉製麺工場;徳島県美馬郡つるぎ町半田字天皇144-1;0883-64-2020;http://takedasomen.com/;https://www.rakuten.co.jp/takedasomen/;;2020-12-14 00:00:00;Admin;;;;;t
23;菓舗ふくおか;徳島県鳴門市撫養町南浜字蛭子前東86;088-686-2626;http://www.kaho-fukuoka.co.jp/;;菓舗ふくおか;2020-12-14 00:00:00;Admin;;;;;f
24;株式会社山のせ;徳島県名西郡石井町石井字石井673-12;088-674-6655;https://www.yamanoce.co.jp/;https://www.rakuten.ne.jp/gold/yamanoceps/;山のせ石井本店;2020-12-14 00:00:00;Admin;;;;;t
25;岡本製麺;徳島県板野郡板野町中久保字当部46;088-672-1117;http://okamotoseimen.co.jp/;https://www.rakuten.co.jp/okamotoseimen/;;2020-12-14 00:00:00;Admin;;;;;t
26;徳島の雑穀屋 ミレット;徳島県徳島市東沖洲２丁目２６－１５;088-664-6100;http://millet.shop-pro.jp/;http://millet.shop-pro.jp/;;2020-12-14 00:00:00;Admin;;;;;t
27;日新酒類株式会社;徳島県板野郡上板町上六條283番地;088-694-8166;http://www.nissin-shurui.co.jp/;; 阿波の酒蔵　太閤酒造場;2020-12-14 00:00:00;Admin;;;;;t
28;(株)本家松浦酒造場;徳島県鳴門市大麻町池谷字柳の本19番地;0120-221-158;https://narutotai.jp/;https://www.narutotai-sake.jp/;ナルトタイの店 徳島県鳴門市大麻町池谷字柳の本１９;2020-12-14 00:00:00;Admin;;;;;t
29;大畠酒造;徳島県吉野川市美郷字峠422;0883-43-2275;https://oobatake.com/;http://oobatakesyuzou.cart.fc2.com/;;2020-12-14 00:00:00;Admin;;;;;t
30;有限会社斎藤酒造場;徳島県徳島市佐古七番町7番1号;088-652-8340;https://www.gotensakura.com/;https://store.shopping.yahoo.co.jp/gotensakura/;;2020-12-14 00:00:00;Admin;;;;;t
31;三芳菊酒造株式会社;徳島県 三好市 池田町サラダ16613;0883-72-0053;https://miyoshikiku.shop/;https://miyoshikiku.shop-pro.jp/;;2020-12-14 00:00:00;Admin;;;;;t
32;株式会社サンマック;徳島県徳島市川内町平石若宮187番地;088-635-0315;https://www.tokushima-coffee.co.jp/;https://www.tokushima-coffee.co.jp/asp/newscat.asp?nc_id;;2020-12-14 00:00:00;Admin;;;;;t
33;芳水酒造有限会社;徳島県三好市井川町辻231-2;0883-78-2014;http://www.housui.com/;http://housui.shop-pro.jp/;;2020-12-14 00:00:00;Admin;;;;;t
34;株式会社丸本;徳島県海部郡海陽町大井字大谷41;0120-60-3248;https://www.malmoto.co.jp/;https://www.malmoto.co.jp/onlineshop/;;2020-12-14 00:00:00;Admin;;;;;t
35; 仲野産業株式会社;徳島県鳴門市大津町段関字東19番地; 088-686-2373;https://www.ren-maru.com/;https://www.ren-maru.com/;れんまるCafé;2020-12-14 00:00:00;Admin;;;;;t
36;野田ハニー食品工業 株式会社;徳島県吉野川市鴨島町内原144;0120-24-8382;https://www.nodahoney.com/;https://www.nodahoney.com/;ハニーショップ　すだちの館本店;2020-12-14 00:00:00;Admin;;;;;t
37;"""yoko's jam tea""";徳島県徳島市佐古8番町3-20 野村ビル1Ｆ;090-4975-0379;http://yokosjamtea.net/;;"""yoko's jam tea""";2020-12-14 00:00:00;Admin;;;;;t
38;徳長梅酒製造所;徳島県吉野川市美郷字峠151-1;0883-30-0312;https://umesyu.thebase.in;https://umesyu.thebase.in/;;2020-12-14 00:00:00;Admin;;;;;t
39;(有)あずまや;徳島県鳴門市撫養町字大桑島中ノ組93-3;088-685-4666;https://naruto-kintsuba.jp/;https://naruto-kintsuba.stores.jp/;(有)あずまや;2020-12-14 00:00:00;Admin;;;;;t
40;有限会社ニコニコヤみやげ店;徳島県徳島市元町1丁目5番地1;088-623-2421;http://www.nikonikoyamiyageten.com/;;おみやげ徳島あいぐら 名店街店（本店）;2020-12-14 00:00:00;Admin;;;;;t
41;株式会社　東大;;;http://ramen-todai.com/;;;2020-12-14 00:00:00;Admin;;;;;f
42;SATORU HAYAMI inc.;徳島県鳴門市鳴門町高島字高島194;0886-23-1525;https://satorun.net/;https://satorun.net/order/;堂の浦 鳴門本店;2020-12-14 00:00:00;Admin;;;;;f
43;岡本中華;徳島県小松島市中田町奥林60-1;0885-32-0653;http://www.okamoto1951.jp/;;;2020-12-14 00:00:00;Admin;;;;;f
45;徳島市農業協同組合;徳島県徳島市万代町5丁目71-11;088-622-6335;https://ja-tcc.or.jp/;;なっとく市場;2020-12-14 00:00:00;Admin;;;;;t
